source_row,employee_name,client_name,client_id,province_raw,province_normalized
2,คุณจักรพันธ์,กล้าพันธุ์ดี,ก099,ยโสธร,ยโสธร
3,คุณจักรพันธ์,กิตพานิช,ก032,บุรีรัมย์,บุรีรัมย์
4,คุณจักรพันธ์,กิมเฮง,ก017,ขอนแก่น,ขอนแก่น
5,คุณจักรพันธ์,เกษตรภัณฑ์(สุรินทร์) /ก021,ก021,สุรินทร์,สุรินทร์
6,คุณจักรพันธ์,เกียหลี,ก031,มหาสารคาม,มหาสารคาม
7,คุณจักรพันธ์,คลีนิคเกษตร,ค002,หนองบัวลำภู,หนองบัวลำภู
8,คุณจักรพันธ์,เค.เค ปาล์มเอ็นเตอร์ไพรส์ (อุดรธานี) /ค056,ค056,อุดรธานี,อุดรธานี
9,คุณจักรพันธ์,จอมพระพันธุ์ไม้,จ083,สุรินทร์,สุรินทร์
10,คุณจักรพันธ์,เจริญกิจเกษตรภัณฑ์,จ002,บุรีรัมย์,บุรีรัมย์
11,คุณจักรพันธ์,แจใจ ส่งเสริมการเกษตร,จ016,กาฬสินธุ์,กาฬสินธุ์
12,คุณจักรพันธ์,ชุมแพการเกษตร,ช005,ขอนแก่น,ขอนแก่น
13,คุณจักรพันธ์,โชคไพบูลย์,ช012,ยโสธร,ยโสธร
14,คุณจักรพันธ์,ดียิ่ง อินฟินิท จำกัด-(ขอนแก่น) /ด035,ด035,ขอนแก่น,ขอนแก่น
15,คุณจักรพันธ์,ตั้งเส่งฮงการเกษตร,ต0092,มหาสารคาม,มหาสารคาม
16,คุณจักรพันธ์,ท.เจริญกิจเกษตรภัณฑ์,ท026,บึงกาฬ,บึงกาฬ
17,คุณจักรพันธ์,ท้วนการเกษตร,ท007,หนองคาย,หนองคาย
18,คุณจักรพันธ์,ทวีทรัพย์,ท044,ชัยภูมิ,ชัยภูมิ
19,คุณจักรพันธ์,ทวีผล คอร์ปอเรชั่น จำกัด,ท104,นครราชสีมา,นครราชสีมา
20,คุณจักรพันธ์,ทีพีเอส คอนแทรคเตอร์ จำกัด(สนง.ใหญ่) /ท109,ท109,,
21,คุณจักรพันธ์,ไท้เชียงล้ง,ท002,สุรินทร์,สุรินทร์
22,คุณจักรพันธ์,ไทยการค้า,ท025,นครพนม,นครพนม
23,คุณจักรพันธ์,ไทยถาวร,ท1012,อุบลราชธานี,อุบลราชธานี
24,คุณจักรพันธ์,ไทยสามัคคี,ท001,อุดรธานี,อุดรธานี
25,คุณจักรพันธ์,ธนโชติการเกษตร,ธ037,กาฬสินธุ์,กาฬสินธุ์
26,คุณจักรพันธ์,ธนาพันธุ์(นครพนม),ธ002,นครพนม,นครพนม
27,คุณจักรพันธ์,น.เกษตร ครบุรี,น012,นครราชสีมา,นครราชสีมา
28,คุณจักรพันธ์,บรรลือพาณิชย์,บ008,ชัยภูมิ,ชัยภูมิ
29,คุณจักรพันธ์,บุญเกษตรพอเพียง,บ020,นครพนม,นครพนม
30,คุณจักรพันธ์,บุญมีโฮลเซล จำกัด,บ070,กาฬสินธุ์,กาฬสินธุ์
31,คุณจักรพันธ์,เบสท์การเกษตรและอุปกรณ์,บ071,ยโสธร,ยโสธร
32,คุณจักรพันธ์,ป.สถิตย์เคหะการ,ป003,ชัยภูมิ,ชัยภูมิ
33,คุณจักรพันธ์,พันธ์ทวี คอร์ปอเรชั่น,พ034,ขอนแก่น,ขอนแก่น
34,คุณจักรพันธ์,พี เอส วาย การเกษตร(ขอนแก่น) /พ016,พ016,ขอนแก่น,ขอนแก่น
35,คุณจักรพันธ์,พูนผล,พ029,ชัยภูมิ,ชัยภูมิ
36,คุณจักรพันธ์,เพื่อนเกษตร,พ001,นครราชสีมา,นครราชสีมา
37,คุณจักรพันธ์,ฟาร์มเห็ดวาสนา(หนองบัวลำภู) /ฟ009,ฟ009,หนองบัวลำภู,หนองบัวลำภู
38,คุณจักรพันธ์,มารุ่งเรือง(สุรินทร์) /ม012,ม012,สุรินทร์,สุรินทร์
39,คุณจักรพันธ์,ร่มโพธิ์การเกษตร จำกัด,ส0252,บุรีรัมย์,บุรีรัมย์
40,คุณจักรพันธ์,รวมกิจอะไหล่,ร037,ศรีสะเกษ,ศรีสะเกษ
41,คุณจักรพันธ์,รวมเกษตร(สุรินทร์) /ร003,ร003,สุรินทร์,สุรินทร์
42,คุณจักรพันธ์,รวมเกษตร(หนองคาย) /ร005,ร005,หนองคาย,หนองคาย
43,คุณจักรพันธ์,ร้อยเอ็ดบิ๊คเทรดดิ้ง,ร048,ร้อยเอ็ด,ร้อยเอ็ด
44,คุณจักรพันธ์,ริริน จำกัด,ร042,สกลนคร,สกลนคร
45,คุณจักรพันธ์,วุฒิผ่องพืชผล กรุ๊ป(ชัยภูมิ) /ว0451,ว0451,ชัยภูมิ,ชัยภูมิ
46,คุณจักรพันธ์,สันติสุขโภคภัณฑ์,ส016,ยโสธร,ยโสธร
47,คุณจักรพันธ์,สินเกษตร,ส058,อุบลราชธานี,อุบลราชธานี
48,คุณจักรพันธ์,แสงมณี รักษ์เกษตร จำกัด,ส191,อุดรธานี,อุดรธานี
49,คุณจักรพันธ์,แสงศิริเคมีเกษตร,ส159,ศรีสะเกษ,ศรีสะเกษ
50,คุณจักรพันธ์,เหมียว,ห004,ชัยภูมิ,ชัยภูมิ
51,คุณจักรพันธ์,อึ้งชุนฮะ(1994) จำกัด,อ056,หนองบัวลำภู,หนองบัวลำภู
52,คุณจักรพันธ์,เอ็น อาร์ เทรดดิ้ง 2018,อ0982,นครพนม,นครพนม
53,คุณจักรพันธ์,ฮะฮง,ฮ005,สกลนคร,สกลนคร
54,คุณกิตติพงษ์,679 ดีเวลลอปเม้นท์-(สระบุรี) /ห028,ห028,สระบุรี,สระบุรี
55,คุณกิตติพงษ์,เกษตรบ้านนา,ก111,นครนายก,นครนายก
56,คุณอรญา,คิววัสดุ จำกัด,ค054,นนทบุรี,นนทบุรี
57,คุณวิรุฬห์,แสงทิพย์การค้า 888 จำกัด(สมุทรสาคร) /ก1142,ก1142,สมุทรสาคร,สมุทรสาคร
58,คุณกิตติพงษ์,โคกสูงพัฒนา จำกัด,ค0401,สระแก้ว,สระแก้ว
59,คุณวิรุฬห์,จันทิมา ธวัชพันธุ์,จ058,นครปฐม,นครปฐม
60,คุณกิตติพงษ์,เจด็จ ปาลวัฒน์-(สระบุรี) /จ085,จ085,สระบุรี,สระบุรี
61,คุณกิตติพงษ์,เจริญชัยอะหลั่ย,จ033,สระแก้ว,สระแก้ว
62,คุณกิตติพงษ์,เจ้าสัวเกษตร จำกัด,ย0121,สระบุรี,สระบุรี
63,คุณกิตติพงษ์,เจี่ยเทียมเส็ง,จ037,สระแก้ว,สระแก้ว
64,คุณกิตติพงษ์,ชัยชนะเกษตร(ลพบุรี) /ช013,ช013,ลพบุรี,ลพบุรี
65,คุณอรญา,ดำรงค์เกียรติ(1994),ด015,กทม.,กรุงเทพมหานคร
66,คุณอรญา,เด่นใหญ่ โกลเบิล ไลน์ จำกัด,ด025,กทม.,กรุงเทพมหานคร
67,คุณอรญา,ตั้งธนไพศาล จำกัด,ต021,กทม.,กรุงเทพมหานคร
68,คุณอรญา,ทรงชัยการค้า,ท043,กทม.,กรุงเทพมหานคร
69,คุณวิรุฬห์,ทีพีเค โกลเบิล ซัพพลายส์ จำกัด,ท057,นครปฐม,นครปฐม
70,คุณวิรุฬห์,ไทยเจริญสุกร จำกัด,ท1124,นครปฐม,นครปฐม
71,คุณกิตติพงษ์,ไทยสมานมิตร,ท017,สระบุรี,สระบุรี
72,คุณอรญา,ธนะสาร เทรดดิ้ง(2015) จำกัด,บ0452,กทม.,กรุงเทพมหานคร
73,คุณอรญา,ธนะสาร เทรดดิ้ง(2015) จำกัด /บ0452,บ0452,กทม.,กรุงเทพมหานคร
74,คุณอรญา,ธนายุทธแมชชีนเทค /ธ0302,ธ0302,กทม.,กรุงเทพมหานคร
75,คุณอรญา,บ้านไร่การเกษตร,บ050,เลย,เลย
76,คุณอรญา,บุญชัย รับเบอร์ /บ038,บ038,กทม.,กรุงเทพมหานคร
77,คุณกิตติพงษ์,ประเสริฐวัสดุภัณฑ์สระแก้ว /ป011,ป011,สระแก้ว,สระแก้ว
78,คุณกิตติพงษ์,พรปรีชาการเกษตร,พ030,สระแก้ว,สระแก้ว
79,คุณอรญา,พี เจ แอนด์ ควอลิตี้ กรุ๊ป จำกัด,พ0702,กทม.,กรุงเทพมหานคร
80,คุณอรญา,พี.เอส.เบสท์ โปรดักส์ จำกัด,พ0612,กทม.,กรุงเทพมหานคร
81,คุณอรญา,พีอาร์โอ ซัพพลาย (2017),พ0632,กทม.,กรุงเทพมหานคร
82,คุณวิรุฬห์,เพราพิลาศ จำกัด,พ002,นครปฐม,นครปฐม
83,คุณอรญา,แพ็คกิ้ง สตอรี่,พ0632,กทม.,กรุงเทพมหานคร
84,คุณอรญา,ภูดิส 99 ซัพพลาย,ภ024,นนทบุรี,นนทบุรี
85,คุณกิตติพงษ์,ภูตะวันวัสดุก่อสร้าง(สนง.ใหญ่),ภ0112,สระบุรี,สระบุรี
86,คุณอรญา,ลุงเที้ยม,ล009,ปทุมธานี,ปทุมธานี
87,คุณอรญา,ฟาร์มก่อสุข จำกัด,ธ0253,พิษณุโลก,พิษณุโลก
88,คุณอรญา,วินค้าไม้ศาลาแดง,ว051,กทม.,กรุงเทพมหานคร
89,คุณอรญา,ไวท์ปาร์ตี้ เทรดดิ้ง จำกัด,ว0372,นนทบุรี,นนทบุรี
90,คุณวิรุฬห์,ศิรภิชฌาย์ สุทธิเมธีวงศ์(อินดี้),ศ034,กทม.,กรุงเทพมหานคร
91,คุณอรญา,ศิริบุญอินเตอร์พลาส จำกัด,ศ0402,นนทบุรี,นนทบุรี
92,คุณกิตติพงษ์,สมบัติโอสถการเกษตร จำกัด,ส051,สระแก้ว,สระแก้ว
93,คุณกิตติพงษ์,อำนวยการเกษตร,อ083,ปราจีนบุรี,ปราจีนบุรี
94,คุณอรญา,เอกพร โตสวน,อ192,นนทบุรี,นนทบุรี
95,คุณกิตติพงษ์,เอสโบ้โฮมเวิลด์(สนง.ใหญ่),อ021,สระบุรี,สระบุรี
96,คุณอรญา,เอสพี.เจริญทรัพย์,อ121,กทม.,กรุงเทพมหานคร
97,คุณวิรุฬห์,เอสเอพี โฮม เซนเตอร์,อ0641,สมุทรสาคร,สมุทรสาคร
98,คุณฐาปนี,คงสวัสดิ์ ซัพพลาย จำกัด,ค0145,กทม.,กรุงเทพมหานคร
99,คุณอรญา,คิว โอ ยู เทรดดิ้ง จำกัด,ค048,สมุทรปราการ,สมุทรปราการ
100,คุณอรญา,เค.เจ.ที เทรดดิ้ง จำกัด,ค0182,นนทบุรี,นนทบุรี
101,คุณอรญา,จิตรศิลป์โสภณ จำกัด,จ015,กทม.,กรุงเทพมหานคร
102,คุณอรญา,จิราภาส พงษ์สัมฤทธิ์ผล(กทม.) /จ068,จ068,กทม.,กรุงเทพมหานคร
