product_code,product_name,respondent_type,question_no,question_type,prompt,options_or_items,analysis_hint
GREENHOUSE,Green House / พลาสติกโรงเรือน,dealer,1,checkbox,เหตุผลหลักที่เลือกซื้อฟิล์มโรงเรือนตราต้นไม้ (เลือกได้ 2 ข้อ),คุณภาพ / ฟิล์มทนนาน 1–3 ปี | ความสม่ำเสมอทุก Lot | ราคาและ Margin คุ้มค่า | บริการหลังการขาย | แบรนด์น่าเชื่อถือ | อื่นๆ,รู้ว่า USP ที่ลูกค้าให้คุณค่าจริงคืออะไร เปรียบกับที่ทีมคิดไว้
GREENHOUSE,Green House / พลาสติกโรงเรือน,dealer,2,rating_grid,เทียบกับคู่แข่ง เราดีกว่าในด้านใดมากที่สุด? (ให้คะแนน 1–5),คุณภาพ/ทนทาน | ความสม่ำเสมอ | ราคา/Margin | Delivery ตรงเวลา | บริการหลังการขาย,นำค่าเฉลี่ยไปเติมช่อง 'เสียงลูกค้า' ใน Excel USP ได้ทันที
GREENHOUSE,Green House / พลาสติกโรงเรือน,dealer,3,single_choice,สิ่งที่อยากให้ตราต้นไม้ปรับปรุงมากที่สุด 1 อย่าง,ราคาแพงเกินไปเมื่อเทียบคู่แข่ง | Delivery ช้า / ไม่ตรงเวลา | ขาด Stock ช่วง High Season | Technical Support น้อยเกินไป | ไม่มีปัญหา,ข้อที่ได้มากสุด = Action ที่ต้องแก้ก่อนในไตรมาสหน้า
GREENHOUSE,Green House / พลาสติกโรงเรือน,dealer,4,single_choice,ลูกค้าปลายทางถามเรื่องอะไรมากที่สุดก่อนซื้อฟิล์มโรงเรือน?,อายุการใช้งาน / ทนได้กี่ปี | ราคาเทียบยี่ห้ออื่น | ความหนา / สเปกฟิล์ม | การรับประกันสินค้า | วิธีติดตั้ง,รู้ว่า Pain Point ของ End User คืออะไร → ปรับสื่อการขายให้ตรงจุด
GREENHOUSE,Green House / พลาสติกโรงเรือน,dealer,5,scale,"โอกาสที่จะแนะนำฟิล์มโรงเรือนตราต้นไม้ให้ร้านอื่น (1=ไม่แนะนำ, 5=แนะนำแน่นอน)",,NPS 4–5 = Promoter | 3 = Passive | 1–2 = Detractor
GREENHOUSE,Green House / พลาสติกโรงเรือน,farmer,1,checkbox,ทำไมถึงเลือกใช้ฟิล์มโรงเรือนตราต้นไม้ (เลือกได้ 2 ข้อ),ฟิล์มทนทาน ใช้ได้นาน 1–3 ปี | ไม่ต้องเปลี่ยนบ่อย ประหยัดต้นทุน | แบรนด์น่าเชื่อถือ | Sales แนะนำ | ราคาเหมาะสม | อื่นๆ,เปรียบเทียบว่าเกษตรกรให้คุณค่าอะไรต่างจาก Dealer
GREENHOUSE,Green House / พลาสติกโรงเรือน,farmer,2,rating_grid,หลังใช้งานจริง ฟิล์มของเราดีกว่าที่คาดหวังไว้ในด้านใด? (1–5),ความทนทานต่อแสง UV | ความสม่ำเสมอของเนื้อฟิล์ม | ผลผลิตที่ได้หลังใช้ | ความคุ้มค่าเมื่อเทียบต้นทุน | บริการหลังการขาย,Gap ระหว่าง 'ที่คาดหวัง' vs 'ที่ได้รับ' คือ USP ที่แท้จริง
GREENHOUSE,Green House / พลาสติกโรงเรือน,farmer,3,single_choice,ปัญหาที่เคยเจอกับฟิล์มโรงเรือน (ยี่ห้อใดก็ได้) มากที่สุดคืออะไร?,ฟิล์มเปราะ แตกหักง่ายก่อนกำหนด | สีซีดเร็ว แสงผ่านเปลี่ยนไป | ขนาดไม่ตรงกับโรงเรือน | ราคาแพงเกินไป | ยังไม่มีปัญหา,Pain Point ที่ยังไม่มีใครแก้ได้ดี = โอกาส Innovation
GREENHOUSE,Green House / พลาสติกโรงเรือน,farmer,4,single_choice,เคยเปรียบเทียบกับยี่ห้ออื่นไหม? ถ้าเคย ยี่ห้อใด?,VSC | SPI | สินค้าจีน (ไม่ระบุยี่ห้อ) | ไม่เคยเปลี่ยน ใช้ตราต้นไม้อย่างเดียว | อื่นๆ,รู้ Competitive Set จริงในพื้นที่ ไม่ใช่แค่ที่ทีมคาดเดา
GREENHOUSE,Green House / พลาสติกโรงเรือน,farmer,5,scale,โอกาสที่จะแนะนำฟิล์มโรงเรือนตราต้นไม้ให้เพื่อนเกษตรกร (1–5),,สะท้อนประสบการณ์ใช้งานจริง
